SN号,content,Vendor,Model,date
156244600747,SABKX25001W2409,SAB,2409,20241119_110044
156244600640,SABKX48001W2436,SAB,2436,20241119_110216
156244600746,SABKX48001W2436,SAB,2436,20241119_110322
156244600639,SABKX48001W2436,SAB,2436,20241119_110332
156244600641,SABKX48001W2436,SAB,2436,20241119_110342
156244700321,SABKX44002W2414,SAB,2414,20241125_163539
156244700321,SABKX44002W2414,SAB,2414,20241125_163636
156244700315,SABKX44002W2414,SAB,2414,20241125_163835
156244701125,SABKX48001W2436,SAB,2436,20241127_102850
156244701147,SABKX48001W2436,SAB,2436,20241127_102936
156244701144,SABKX48001W2436,SAB,2436,20241127_103944
156244701144,SABKX48001W2436,SAB,2436,20241127_104515
156244701144,SABKX48001W2436,SAB,2436,20241127_110641
156244701125,SABKX48001W2436,SAB,2436,20241127_110812
156244701147,SABKX48001W2436,SAB,2436,20241127_110830
156244701114,SABKX48001W2436,SAB,2436,20241127_110908
156244701113,SABKX48001W2436,SAB,2436,20241127_111120
156244701116,SABKX48001W2436,SAB,2436,20241127_111545
156244701115,SABKX48001W2436,SAB,2436,20241127_111611
156244701120,SABKX48001W2436,SAB,2436,20241127_111638
156244701122,SABKX48001W2436,SAB,2436,20241127_111653
156244701128,SABKX48001W2436,SAB,2436,20241127_111715
156244701119,SABKX48001W2436,SAB,2436,20241127_111819
156244701127,SABKX48001W2436,SAB,2436,20241127_111843
156244701117,SABKX48001W2436,SAB,2436,20241127_112011
156244701124,SABKX48001W2436,SAB,2436,20241127_112044
156244701123,SABKX48001W2436,SAB,2436,20241127_112059
156244701121,SABKX48001W2436,SAB,2436,20241127_112113
156244701126,SABKX48001W2436,SAB,2436,20241127_112136
156244701131,SABKX48001W2436,SAB,2436,20241127_112203
156244701130,SABKX48001W2436,SAB,2436,20241127_112217
156244701129,SABKX48001W2436,SAB,2436,20241127_112229
156244701136,SABKX48001W2436,SAB,2436,20241127_112242
156244701135,SABKX48001W2436,SAB,2436,20241127_112254
156244701140,SABKX48001W2436,SAB,2436,20241127_112306
156244701139,SABKX48001W2436,SAB,2436,20241127_112321
156244701138,SABKX48001W2436,SAB,2436,20241127_112349
156244701134,SABKX48001W2436,SAB,2436,20241127_113455
156244701137,SABKX48001W2436,SAB,2436,20241127_113512
156244701148,SABKX48001W2436,SAB,2436,20241127_113530
156244701141,SABKX48001W2436,SAB,2436,20241127_113546
156244701142,SABKX48001W2436,SAB,2436,20241127_113605
156244701133,SABKX48001W2436,SAB,2436,20241127_121350
156244701143,SABKX48001W2436,SAB,2436,20241127_121408
156244701217,SABKX48001W2436,SAB,2436,20241127_121513
156244701221,SABKX48001W2436,SAB,2436,20241127_121544
156244701218,SABKX48001W2436,SAB,2436,20241127_121604
156244701223,SABKX48001W2436,SAB,2436,20241127_121624
156244701228,SABKX48001W2436,SAB,2436,20241127_122017
156244701227,SABKX48001W2436,SAB,2436,20241127_122042
156244701226,SABKX48001W2436,SAB,2436,20241127_122109
156244701220,SABKX48001W2436,SAB,2436,20241127_122233
156244701225,SABKX48001W2436,SAB,2436,20241127_122310
156244701235,SABKX48001W2436,SAB,2436,20241127_122346
156244701236,SABKX48001W2436,SAB,2436,20241127_122411
156244701229,SABKX48001W2436,SAB,2436,20241127_122456
156244701230,SABKX48001W2436,SAB,2436,20241127_122538
156244701231,SABKX48001W2436,SAB,2436,20241127_122605
156244701232,SABKX48001W2436,SAB,2436,20241127_122628
156244701234,SABKX48001W2436,SAB,2436,20241127_122655
15624470,SABKX48001W2436,SAB,2436,20241127_122726
1233156244701,SABKX48001W2436,SAB,2436,20241127_122752
240156244701239,SABKX48001W2436,SAB,2436,20241127_122834
15624470123,SABKX48001W2436,SAB,2436,20241127_122910
8156244701237,SABKX48001W2436,SAB,2436,20241127_122947
156244701247,SABKX48001W2436,SAB,2436,20241127_123046
15624470124,SABKX48001W2436,SAB,2436,20241127_123124
8156244701241,SABKX48001W2436,SAB,2436,20241127_123153
15624470124,SABKX48001W2436,SAB,2436,20241127_123223
21562447012,SABKX48001W2436,SAB,2436,20241127_123258
15624470,SABKX48001W2436,SAB,2436,20241127_123409
1250156244701251,SABKX48001W2436,SAB,2436,20241127_123434
15624470125,SABKX48001W2436,SAB,2436,20241127_123501
2156244701,SABKX48001W2436,SAB,2436,20241127_123535
245156244701,SABKX48001W2436,SAB,2436,20241127_123604
156244701346,SABKX48001W2436,SAB,2436,20241127_125442
1562447013,SABKX48001W2436,SAB,2436,20241127_125503
156244701352,SABKX48001W2436,SAB,2436,20241127_125526
156244701350,SABKX48001W2436,SAB,2436,20241127_125608
156244701351,SABKX48001W2436,SAB,2436,20241127_125639
156244701349,SABKX48001W2436,SAB,2436,20241127_125717
1562447013,SABKX48001W2436,SAB,2436,20241127_125749
156244701356,SABKX48001W2436,SAB,2436,20241127_125806
156244701355,SABKX48001W2436,SAB,2436,20241127_125832
156244701244,SABKX48001W2436,SAB,2436,20241127_125900
156244701127,SABKX48001W2436,SAB,2436,20241127_130056
156244701119,SABKX48001W2436,SAB,2436,20241127_130121
156244701349,SABKX48001W2436,SAB,2436,20241127_130145
156244701356,SABKX48001W2436,SAB,2436,20241127_130208
156244701355,SABKX48001W2436,SAB,2436,20241127_130233
156244701244,SABKX48001W2436,SAB,2436,20241127_130302
156244701139,SABKX48001W2436,SAB,2436,20241127_130335
156244701130,SABKX48001W2436,SAB,2436,20241127_130407
156244701129,SABKX48001W2436,SAB,2436,20241127_130431
156244701138,SABKX48001W2436,SAB,2436,20241127_130513
156244701126,SABKX48001W2436,SAB,2436,20241127_130545
156244701131,SABKX48001W2436,SAB,2436,20241127_130621
156244701121,SABKX48001W2436,SAB,2436,20241127_130656
156244701123,SABKX48001W2436,SAB,2436,20241127_130722
156244701124,SABKX48001W2436,SAB,2436,20241127_130752
156244701117,SABKX48001W2436,SAB,2436,20241127_130823
156244701226,SABKX48001W2436,SAB,2436,20241127_130907
156244701227,SABKX48001W2436,SAB,2436,20241127_130939
156244701223,SABKX48001W2436,SAB,2436,20241127_131017
156244701218,SABKX48001W2436,SAB,2436,20241127_131055
156244701221,SABKX48001W2436,SAB,2436,20241127_131139
156244701217,SABKX48001W2436,SAB,2436,20241127_131211
156244701229,SABKX48001W2436,SAB,2436,20241127_131250
156244701236,SABKX48001W2436,SAB,2436,20241127_131322
156244701235,SABKX48001W2436,SAB,2436,20241127_131410
156244701225,SABKX48001W2436,SAB,2436,20241127_131442
156244701220,SABKX48001W2436,SAB,2436,20241127_131514
156244701228,SABKX48001W2436,SAB,2436,20241127_131544
156244701240,SABKX48001W2436,SAB,2436,20241127_131617
156244701233,SABKX48001W2436,SAB,2436,20241127_131701
156244701234,SABKX48001W2436,SAB,2436,20241127_131802
156244701232,SABKX48001W2436,SAB,2436,20241127_131827
